# Mass [10^15 Msun]      sigma(M,z=0)
  3.63078              0.38127675
  3.71535              0.37847794
  3.80189              0.37569305
  3.89045              0.37292213
  3.98107              0.37016511
  4.07380              0.36742206
  4.16869              0.36469292
  4.26580              0.36197758
  4.36516              0.35927614
  4.46684              0.35658861
  4.57088              0.35391491
  4.67735              0.35125501
  4.78630              0.34860893
  4.89779              0.34597661
  5.01187              0.34335797
  5.12861              0.34075318
  5.24808              0.33816208
  5.37032              0.33558469
  5.49541              0.33302097
  5.62341              0.33047097
  5.75440              0.32793449
  5.88844              0.32541179
  6.02560              0.32290260
  6.16595              0.32040702
  6.30957              0.31792498
  6.45654              0.31545650
  6.60693              0.31300149
  6.76083              0.31056012
  6.91831              0.30813201
  7.07946              0.30571744
  7.24436              0.30331636
  7.41310              0.30092866
  7.58578              0.29855420
  7.76247              0.29619316
  7.94328              0.29384552
  8.12831              0.29151118
  8.31764              0.28919011
  8.51138              0.28688228
  8.70964              0.28458763
  8.91251              0.28230631
  9.12011              0.28003801
  9.33254              0.27778298
  9.54993              0.27554103
  9.77237              0.27331214
  10.0000              0.27109639
