# Wavenumber k [Mpc^(-1)]      P(k) [Mpc^3]
  0.52480720              398.70059
  0.54954058              359.84711
  0.57544024              324.60186
  0.60255987              292.65324
  0.63095762              263.71155
  0.66069371              237.51088
  0.69183121              213.80671
  0.72443618              192.37444
  0.75857777              173.00804
  0.79432841              155.51870
  0.83176392              139.73356
  0.87096370              125.49457
  0.91201092              112.65731
  0.95499263              101.08998
  1.0000000              90.672393
  1.0471285              81.295060
  1.0964781              72.858309
  1.1481535              65.271489
  1.2022642              58.452221
  1.2589251              52.325700
  1.3182564              46.824052
  1.3803838              41.885736
  1.4454393              37.454995
  1.5135607              33.481346
  1.5848925              29.919111
  1.6595861              26.726992
  1.7377999              23.867668
  1.8197018              21.307381
  1.9054617              19.015837
  1.9952632              16.965538
  2.0892970              15.131755
  2.1877624              13.492207
  2.2908684              12.026831
  2.3988336              10.717572
  2.5118870              9.5481884
  2.6302685              8.5040783
  2.7542291              7.5721202
  2.8840318              6.7405284
  3.0199519              5.9987222
  3.1622777              5.3372068
  3.3113111              4.7474660
  3.4673683              4.2218641
  3.6307801              3.7535582
  3.8018934              3.3364185
  3.9810709              2.9649556
  4.1686928              2.6342563
  4.3651571              2.3399243
  4.5708804              2.0780274
  4.7862991              1.8450500
  5.0118702              1.6378497
  5.2480722              1.4536192
  5.4954060              1.2898510
  5.7544025              1.1443030
  6.0255989              1.0149837
  6.3095764              0.90010663
  6.6069373              0.79808128
  6.9183123              0.70748946
  7.2443620              0.62706692
  7.5857780              0.55568700
  7.9432843              0.49234589
  8.3176394              0.43614956
  8.7096373              0.38630190
  9.1201095              0.34209426
  9.5499266              0.30289594
  10.000000              0.26814582
  10.471285              0.23734478
  10.964781              0.21004895
  11.481535              0.18586372
  12.022643              0.16443835
  12.589252              0.14546115
  13.182564              0.12865521
  13.803839              0.11377457
  14.454393              0.10060081
  15.135607              0.088940009
  15.848926              0.078620031
  16.595862              0.069488115
  17.378000              0.061408719
  18.197019              0.054261443
  19.054617              0.047939980
  19.952633              0.042349584
  20.892970              0.037406413
  21.877625              0.033036149
  22.908685              0.029172926
  23.988337              0.025758381
  25.118871              0.022740809
  26.302686              0.020074409
  27.542292              0.017718620
  28.840319              0.015637523
  30.199520              0.013799321
  31.622778              0.012175865
  33.113112              0.010742243
  34.673684              0.0094764093
  36.307803              0.0083588589
  38.018935              0.0073723366
  39.810710              0.0065015802
  41.686930              0.0057330919
  43.651572              0.0050549364
  45.708805              0.0044565613
  47.862993              0.0039286384
  50.118704              0.0034629224
  52.480724              0.0030521267
  54.954061              0.0026898125
  57.544027              0.0023702835
  60.255991              0.0020885294
  63.095766              0.0018401029
  66.069375              0.0016210833
  69.183125              0.0014280083
  72.443623              0.0012578210
  75.857782              0.0011078223
  79.432846              0.00097562972
  83.176397              0.00085914014
  87.096376              0.00075649758
  91.201098              0.00066606415
  95.499269              0.00058639463
  100.00001              0.00051621397
