# Mass [10^15 Msun]      dN/dz/dlnM(M,z=1) for 1 square degree
  3.31131              3.7288059e-09
  3.38844              2.5634171e-09
  3.46737              1.7514012e-09
  3.54813              1.1890902e-09
  3.63078              8.0215228e-10
  3.71535              5.3760171e-10
  3.80189              3.5790289e-10
  3.89045              2.3665673e-10
  3.98107              1.5540393e-10
  4.07380              1.0133087e-10
  4.16869              6.5598536e-11
  4.26580              4.2155473e-11
  4.36516              2.6888548e-11
  4.46684              1.7020460e-11
  4.57088              1.0690499e-11
  4.67735              6.6616338e-12
  4.78630              4.1176976e-12
  4.89779              2.5243362e-12
  5.01187              1.5345598e-12
  5.12861              9.2492629e-13
  5.24808              5.5262906e-13
  5.37032              3.2725901e-13
  5.49541              1.9204469e-13
  5.62341              1.1165900e-13
  5.75440              6.4308952e-14
  5.88844              3.6684069e-14
  6.02560              2.0720861e-14
  6.16595              1.1587457e-14
  6.30957              6.4139696e-15
  6.45654              3.5134932e-15
  6.60693              1.9042686e-15
  6.76083              1.0209927e-15
  6.91831              5.4136301e-16
  7.07946              2.8383244e-16
  7.24436              1.4711059e-16
  7.41310              7.5356724e-17
  7.58578              3.8139940e-17
  7.76247              1.9069420e-17
  7.94328              9.4164584e-18
  8.12831              4.5910408e-18
  8.31764              2.2095196e-18
  8.51138              1.0493725e-18
  8.70964              4.9168387e-19
  8.91251              2.2723375e-19
  9.12011              1.0354434e-19
  9.33254              4.6511698e-20
  9.54993              2.0588752e-20
  9.77237              8.9784127e-21
  10.0000              3.8561510e-21
