# Mass [10^15 Msun]      dN/dz/dlnM(M,z=1) for 1 square degree
  3.23594              1.4961057e-09
  3.31131              1.0229444e-09
  3.38844              6.9502906e-10
  3.46737              4.6920372e-10
  3.54813              3.1468144e-10
  3.63078              2.0964276e-10
  3.71535              1.3871851e-10
  3.80189              9.1153036e-11
  3.89045              5.9475228e-11
  3.98107              3.8527175e-11
  4.07380              2.4774741e-11
  4.16869              1.5812308e-11
  4.26580              1.0015154e-11
  4.36516              6.2941914e-12
  4.46684              3.9244296e-12
  4.57088              2.4271499e-12
  4.67735              1.4887806e-12
  4.78630              9.0554660e-13
  4.89779              5.4608717e-13
  5.01187              3.2644184e-13
  5.12861              1.9341163e-13
  5.24808              1.1355476e-13
  5.37032              6.6053981e-14
  5.49541              3.8061127e-14
  5.62341              2.1720916e-14
  5.75440              1.2274109e-14
  5.88844              6.8668348e-15
  6.02560              3.8025029e-15
  6.16595              2.0837777e-15
  6.30957              1.1298129e-15
  6.45654              6.0596336e-16
  6.60693              3.2141796e-16
  6.76083              1.6857886e-16
  6.91831              8.7398908e-17
  7.07946              4.4782853e-17
  7.24436              2.2673422e-17
  7.41310              1.1339788e-17
  7.58578              5.6008526e-18
  7.76247              2.7313705e-18
  7.94328              1.3148400e-18
  8.12831              6.2460689e-19
  8.31764              2.9272991e-19
  8.51138              1.3531030e-19
  8.70964              6.1669747e-20
  8.91251              2.7707219e-20
  9.12011              1.2266551e-20
  9.33254              5.3502304e-21
  9.54993              2.2981924e-21
  9.77237              9.7191480e-22
  10.0000              4.0455359e-22
