# Mass [10^15 Msun]      bias(M,z=1)
  6.16595              27.4510
  6.30957              27.8714
  6.45654              28.2992
  6.60693              28.7349
  6.76083              29.1784
  6.91831              29.6300
  7.07946              30.0898
  7.24436              30.5579
  7.41310              31.0346
  7.58578              31.5201
  7.76247              32.0144
  7.94328              32.5178
  8.12831              33.0304
  8.31764              33.5525
  8.51138              34.0842
  8.70964              34.6258
  8.91251              35.1773
  9.12011              35.7391
  9.33254              36.3114
  9.54993              36.8942
  9.77237              37.4880
  10.0000              38.0929
